id,nombre,provincia_id,centroide_lat,centroide_lon
6260010001,CANNING,6,-34.88497914,-58.47780994
6260010002,EL JAGÜEL,6,-34.8304505,-58.49486942
6260010003,LUIS GUILLON,6,-34.80019644,-58.45309641
6260010004,MONTE GRANDE,6,-34.81913686,-58.47269476
6260010005,9 DE ABRIL,6,-34.75650758,-58.49029235
6266010000,ARROYO DE LA CRUZ,6,-34.33637869,-59.10941497
6266020000,CAPILLA DEL SE¥OR,6,-34.29121087,-59.10152327
6266030000,DIEGO GAYNOR,6,-34.28897398,-59.22278122
6266040000,LOS CARDALES,6,-34.3300737,-58.98856516
6266050000,PARADA ORLANDO,6,-34.32730036,-59.07599055
6266060001,EL REMANSO,6,-34.41494774,-59.08628118
6266060002,PARADA ROBLES,6,-34.3736267,-59.13935402
6266060003,PAVON,6,-34.3581119,-59.03100107
6270010001,AEROPUERTO INTERNACIONAL EZEIZA,6,-34.81282163,-58.55216501
6270010002,CANNING,6,-34.8962284,-58.5087006
6270010003,CARLOS SPEGAZZINI,6,-34.93384899,-58.57800173
6270010004,JOSE MARIA EZEIZA,6,-34.85361001,-58.51955217
6270010005,LA UNION,6,-34.85038597,-58.55586955
6270010006,TRISTAN SUAREZ,6,-34.88515271,-58.57003358
6274010001,BOSQUES,6,-34.8275807,-58.222912
6274010002,ESTANISLAO SEVERO ZEBALLOS,6,-34.81228589,-58.24265326
6274010003,FLORENCIO VARELA,6,-34.79605443,-58.2748589
6274010004,GOBERNADOR JULIO A. COSTA,6,-34.81523973,-58.30823342
6274010005,INGENIERO JUAN ALLAN,6,-34.86480753,-58.21104373
6274010006,VILLA BROWN,6,-34.87904247,-58.28980925
6274010007,VILLA SAN LUIS,6,-34.86279293,-58.25532323
6274010008,VILLA SANTA ROSA,6,-34.83802765,-58.28888991
6274010009,VILLA VATTEONE,6,-34.83031932,-58.26352399
6274010010,EL TROPEZON,6,-34.95640486,-58.27874543
6274010011,LA CAPILLA,6,-34.94373301,-58.26325509
6277010000,BLAQUIER,6,-34.63566163,-62.47868213
6277020000,FLORENTINO AMEGHINO,6,-34.8466777,-62.46715758
6277030000,PORVENIR,6,-34.95222922,-62.21742299
6280005000,CENTINELA DEL MAR,6,-38.43488064,-58.21686373
6280010000,COMANDANTE NICANOR OTAMENDI,6,-38.11193351,-57.84153531
6280020000,MAR DEL SUR,6,-38.34468815,-57.99203931
6280030000,MECHONGUE,6,-38.14865451,-58.22301211
6280040000,MIRAMAR,6,-38.27074293,-57.84047146
6287010000,GENERAL ALVEAR,6,-36.02293843,-60.01479357
6294010000,ARRIBE¥OS,6,-34.21015426,-61.3548578
6294020000,ASCENSION,6,-34.2368759,-61.10361388
6294030000,ESTACION ARENALES,6,-34.26984559,-61.29267181
6294040000,FERRE,6,-34.12503838,-61.13265489
6294050000,GENERAL ARENALES,6,-34.30446797,-61.30562778
6294060000,LA ANGELITA,6,-34.26087407,-60.96859882
6294070000,LA TRINIDAD,6,-34.10685494,-61.13170207
6301010000,GENERAL BELGRANO,6,-35.76945774,-58.49446151
6301020000,GORCHS,6,-35.67337296,-58.95829996
6308010000,GENERAL GUIDO,6,-36.64316518,-57.7905019
6308020000,LABARDEN,6,-36.94896685,-58.10356718
6315010001,BARRIO KENNEDY,6,-37.00622177,-57.14172559
6315010002,GENERAL JUAN MADARIAGA,6,-36.996773,-57.13747691
6322010000,GENERAL LA MADRID,6,-37.25039925,-61.25957941
6322020000,LA COLINA,6,-37.36076902,-61.53484879
6322030000,LAS MARTINETAS,6,-37.19808135,-61.1220424
6322040000,LIBANO,6,-37.53362138,-61.28657501
6322050000,PONTAUT,6,-37.7317699,-61.32309572
6329010000,GENERAL HORNOS,6,-34.89377633,-58.91722153
6329020000,GENERAL LAS HERAS,6,-34.92677391,-58.94534079
6329030000,LA CHOZA,6,-34.78299083,-59.10956477
6329050000,PLOMER,6,-34.79411937,-59.02797569
6329060000,VILLARS,6,-34.83002419,-58.94225894
6336020000,GENERAL LAVALLE,6,-36.40808519,-56.94335533
6336030000,PAVON,6,-36.70895377,-56.75984336
6343010000,BARRIO RIO SALADO,6,-35.69363776,-58.44731361
6343020000,LOMA VERDE,6,-35.27474901,-58.40417019
6343030000,RANCHOS,6,-35.51735202,-58.31842471
6343040000,VILLANUEVA,6,-35.67762711,-58.43509232
6351010000,COLONIA SAN RICARDO,6,-34.41621373,-61.92801417
6351020000,GENERAL PINTO,6,-34.76415599,-61.89006749
6351030000,GERMANIA,6,-34.57611183,-62.05183069
6351035000,GUNTHER,6,-34.59949953,-61.91649891
6351040000,VILLA FRANCIA,6,-34.79131602,-62.20110907
6351050000,VILLA ROTH,6,-34.57983023,-62.17104892
6357020000,BARRIO EL BOQUERON,6,-38.02972292,-57.7995485
6357050000,BARRIO LA GLORIA,6,-37.90682683,-57.78588606
6357060000,BARRIO SANTA PAULA,6,-37.93171578,-57.68316203
6357070000,BATAN,6,-38.00862116,-57.70855004
6357080000,CHAPADMALAL,6,-38.17577793,-57.651339
6357090000,EL MARQUESADO,6,-38.23693125,-57.76341808
6357100000,ESTACION CHAPADMALAL,6,-38.03672773,-57.71298974
6357110001,CAMET,6,-37.91307639,-57.55246385
6357110002,ESTACION CAMET,6,-37.88866524,-57.60001215
6357110003,MAR DEL PLATA,6,-38.01209148,-57.60649472
6357110004,PUNTA MOGOTES,6,-38.08337743,-57.58593509
6357110005,BARRIO EL CASAL,6,-37.83241452,-57.63111555
6357120000,SIERRA DE LOS PADRES,6,-37.95416671,-57.7715971
6357120001,BARRIO COLINAS VERDES,6,-37.89310248,-57.82616456
6357120002,BARRIO EL COYUNCO,6,-37.90508101,-57.73918241
6357120004,SIERRA DE LOS PADRES,6,-37.95048507,-57.77746966
6364030000,GENERAL RODRIGUEZ,6,-34.6079239,-58.95028204
6364030001,BARRIO MORABO,6,-34.54971974,-58.94677855
6364030002,BARRIO RUTA 24 KM. 10,6,-34.6764463,-58.97041886
6364030003,C.C. BOSQUE REAL,6,-34.56013885,-58.91826142
6364030004,GENERAL RODRGUEZ,6,-34.62786034,-58.95325335
6371010001,BARRIO PARQUE GENERAL SAN MARTIN,6,-34.56734338,-58.58431125
6371010002,BILLINGHURST,6,-34.57510717,-58.57458289
6371010003,CIUDAD DEL LIBERTADOR GENERAL SAN MARTIN,6,-34.57969868,-58.54201448
6371010004,CIUDAD JARDIN EL LIBERTADOR,6,-34.54165208,-58.59590936
6371010005,VILLA AYACUCHO,6,-34.59041326,-58.55304309
6371010006,VILLA BALLESTER,6,-34.54228468,-58.55831772
6371010007,VILLA BERNARDO MONTEAGUDO,6,-34.59058991,-58.53966066
6371010008,VILLA CHACABUCO,6,-34.57967449,-58.52303697
6371010009,VILLA CORONEL JOSE M. ZAPIOLA,6,-34.55951691,-58.57727693
6371010010,VILLA GENERAL ANTONIO J. DE SUCRE,6,-34.5470506,-58.56943919
6371010011,VILLA GENERAL EUGENIO NECOCHEA,6,-34.51253321,-58.58014783
6371010012,VILLA GENERAL JOSE TOMAS GUIDO,6,-34.55311632,-58.56699766
6371010013,VILLA GENERAL JUAN G. LAS HERAS,6,-34.56125671,-58.55539366
6371010014,VILLA GODOY CRUZ,6,-34.54339893,-58.57559284
6371010015,VILLA GRANADEROS DE SAN MARTIN,6,-34.55076469,-58.52848546
6371010016,VILLA GREGORIA MATORRAS,6,-34.53838465,-58.5491721
6371010017,VILLA JOSE LEON SUAREZ,6,-34.52537117,-58.58025507
6371010018,VILLA JUAN MARTIN DE PUEYRREDON,6,-34.54748391,-58.57509726
6371010019,VILLA LIBERTAD,6,-34.58469601,-58.5623334
6371010020,VILLA LYNCH,6,-34.59014644,-58.52343772
6371010021,VILLA MAIPU,6,-34.56821317,-58.52454515
6371010022,VILLA MARIA IRENE DE LOS REMEDIOS DE ESCALADA,6,-34.56463971,-58.59225484
6371010023,VILLA MARQUES ALEJANDRO MARIA DE AGUADO,6,-34.55513566,-58.53837713
6371010024,VILLA PARQUE PRESIDENTE FIGUEROA ALCORTA,6,-34.59394876,-58.53217396
6371010025,VILLA PARQUE SAN LORENZO,6,-34.56187306,-58.53366245
6371010026,VILLA SAN ANDRES,6,-34.56599329,-58.54480692
6371010027,VILLA YAPEYU,6,-34.5716953,-58.5491074
6385010000,BAIGORRITA,6,-34.74726868,-60.98895266
6385020000,LA DELFINA,6,-34.94377201,-61.15886435
6385030000,LOS TOLDOS,6,-35.00103657,-61.03814979
6385040000,SAN EMILIO,6,-35.0319914,-60.86476859
6385050000,ZAVALIA,6,-34.89492088,-61.00445382
6392010000,BANDERALO,6,-35.01246666,-63.37415635
6392020000,CA¥ADA SECA,6,-34.41550546,-62.96185538
6392030000,CORONEL CHARLONE,6,-34.67299456,-63.37244548
6392040000,EMILIO V. BUNGE,6,-34.77983283,-63.19609649
6392050000,GENERAL VILLEGAS,6,-35.03384199,-63.01466371
6392060000,MASSEY,6,-35.04908923,-63.12188768
6392070000,PICHINCHA,6,-34.58045167,-62.35163952
6392080000,PIEDRITAS,6,-34.77110454,-62.98469658
6392090000,SANTA ELEODORA,6,-34.69211801,-62.69579327
6392100000,SANTA REGINA,6,-34.54833566,-63.17327287
6392110000,VILLA SABOYA,6,-34.46079163,-62.64934446
6392120000,VILLA SAUZE,6,-35.28582982,-63.36820555
6399010000,ARROYO VENADO,6,-37.08646628,-62.53914823
6399020000,CASBAS,6,-36.75809534,-62.50177541
6399030000,GARRE,6,-36.56043788,-62.59811204
6399040000,GUAMINI,6,-37.01208813,-62.41668573
6399050000,LAGUNA ALSINA,6,-36.80905244,-62.24514808
6406010000,HENDERSON,6,-36.29946304,-61.71784018
6406020000,HERRERA VEGAS,6,-36.0883254,-61.41125008
6408010001,HURLINGHAM,6,-34.59309314,-58.63572095
6408010002,VILLA SANTOS TESEI,6,-34.61239444,-58.65381037
6408010003,WILLIAM C. MORRIS,6,-34.58156228,-58.65830054
6410010001,ITUZAINGO CENTRO,6,-34.64405512,-58.68848933
6410010002,ITUZAINGO SUR,6,-34.66994303,-58.67330442
6410010003,VILLA GOBERNADOR UDAONDO,6,-34.61686958,-58.6932875
6412010001,DEL VISO,6,-34.48049579,-58.8042589
6412010002,JOSE C. PAZ,6,-34.5211612,-58.77088111
6412010003,TORTUGUITAS,6,-34.4918484,-58.78637803
6413010000,AGUSTIN ROCA,6,-34.50808441,-60.86489565
6413020000,AGUSTINA,6,-34.46070686,-61.06707233
6413030000,BALNEARIO LAGUNA DE GOMEZ,6,-34.66064358,-61.01836459
6413040000,FORTIN TIBURCIO,6,-34.34673224,-61.13107817
6413050000,JUNIN,6,-34.58383163,-60.94726517
6413055000,LA AGRARIA,6,-34.65641452,-60.84666816
6413060000,LAPLACETTE,6,-34.72452385,-61.15531715
6413070000,MORSE,6,-34.76088981,-60.84191225
6413080000,SAFORCADA,6,-34.57525913,-61.07473082
6420010000,LAS TONINAS,6,-36.48839763,-56.70043526
6420020001,AGUAS VERDES,6,-36.65521115,-56.69495207
6420020002,LUCILA DEL MAR,6,-36.66274914,-56.68171361
6420020003,MAR DE AJO,6,-36.74686938,-56.6852642
6420020004,MAR DE AJO NORTE,6,-36.70659776,-56.69049872
6420020005,SAN BERNARDO,6,-36.68741101,-56.68414006
6420030000,SAN CLEMENTE DEL TUYU,6,-36.35323883,-56.72394414
6420040001,MAR DEL TUYU,6,-36.58611685,-56.69900622
6420040002,SANTA TERESITA,6,-36.54091118,-56.70586744
6427010001,ALDO BONZI,6,-34.71417289,-58.50890438
6427010002,CIUDAD EVITA,6,-34.72453585,-58.53700638
6427010003,GONZALEZ CATAN,6,-34.77246525,-58.64048616
6427010004,GREGORIO DE LAFERRERE,6,-34.746838,-58.59253289
6427010005,ISIDRO CASANOVA,6,-34.71842916,-58.57775153
6427010006,LA TABLADA,6,-34.68705367,-58.5256124
6427010007,LOMAS DEL MIRADOR,6,-34.66569497,-58.53315533
6427010008,RAFAEL CASTILLO,6,-34.71320546,-58.62583651
6427010009,RAMOS MEJIA,6,-34.65230818,-58.55921147
6427010010,SAN JUSTO,6,-34.68816042,-58.56267857
6427010011,TAPIALES,6,-34.71083178,-58.49500849
6427010012,20 DE JUNIO,6,-34.78553365,-58.717185
6427010013,VILLA EDUARDO MADERO,6,-34.69811569,-58.4877576
6427010014,VILLA LUZURIAGA,6,-34.67308664,-58.59387924
6427010015,VIRREY DEL PINO,6,-34.84752135,-58.68606764
6434010001,GERLI,6,-34.69095715,-58.38386285
6434010002,LANUS ESTE,6,-34.71086092,-58.37250475
6434010003,LANUS OESTE,6,-34.69578153,-58.41625327
6434010004,MONTE CHINGOLO,6,-34.73020989,-58.35617419
6434010005,REMEDIOS ESCALADA DE SAN MARTIN,6,-34.72380882,-58.39766971
6434010006,VALENTIN ALSINA,6,-34.67203553,-58.41348517
6441010000,COUNTRY CLUB EL RODEO,6,-35.07946881,-58.13932757
6441020000,IGNACIO CORREAS,6,-35.03456003,-57.84402496
6441030001,ABASTO,6,-35.0103682,-58.11518486
6441030002,ANGEL ETCHEVERRY,6,-35.02615809,-58.09590601
6441030003,ARANA,6,-35.03005561,-57.886525
6441030004,ARTURO SEGUI,6,-34.89073971,-58.13271165
6441030005,BARRIO EL CARMEN (OESTE),6,-34.97075442,-57.81089503
6441030006,BARRIO GAMBIER,6,-34.93595945,-57.98376305
